"FREQUENCY","TENSION","group","tensionLevel"
10,1,"Frequency x Waveform","Most"
10,1,"Frequency x Waveform","Most"
10,10,"Frequency x Waveform","Most"
0,10,"Frequency x Waveform","Most"
1.25,10,"Frequency x Waveform","Most"
10,8,"Frequency x Waveform","Most"
8.75,8,"Frequency x Waveform","Most"
6.25,10,"Frequency x Waveform","Most"
10,9,"Frequency x Waveform","Most"
6.25,5,"Frequency x Waveform","Most"
7.5,9,"Frequency x Waveform","Most"
10,10,"Frequency x Waveform","Most"
0,9,"Frequency x Waveform","Most"
10,9,"Frequency x Waveform","Most"
1.25,7,"Frequency x Waveform","Most"
10,8,"Frequency x Waveform","Most"
10,8,"Frequency x Waveform","Most"
1.25,10,"Frequency x Waveform","Most"
0,8,"Frequency x Waveform","Most"
8.75,8,"Frequency x Waveform","Most"
8.75,10,"Frequency x Waveform","Most"
10,8,"Frequency x Waveform","Most"
10,10,"Frequency x Waveform","Most"
7.5,1,"Frequency x Waveform","Most"
8.75,9,"Frequency x Waveform","Most"
7.5,9,"Frequency x Waveform","Most"
7.5,9,"Frequency x Waveform","Most"
8.75,8,"Frequency x Waveform","Most"
8.75,7,"Frequency x Waveform","Most"
0,9,"Frequency x Waveform","Most"
0,9,"Frequency x Waveform","Most"
0,9,"Frequency x Waveform","Most"
8.75,5,"Frequency x Waveform","Most"
6.25,10,"Frequency x Waveform","Most"
6.25,8,"Frequency x Waveform","Most"
2.5,9,"Frequency x Waveform","Most"
0,10,"Frequency x Waveform","Most"
10,10,"Frequency x Waveform","Most"
0,8,"Frequency x Waveform","Most"
7.5,9,"Frequency x Waveform","Most"
1.25,10,"Frequency x Waveform","Most"
0,9,"Frequency x Waveform","Most"
10,8,"Frequency x Waveform","Most"
10,10,"Frequency x Waveform","Most"
10,10,"Frequency x Waveform","Most"
8.75,10,"Frequency x Waveform","Most"
8.75,10,"Frequency x Waveform","Most"
6.25,10,"Frequency x Waveform","Most"
10,3,"Frequency x Waveform","Most"
8.75,10,"Frequency x Waveform","Most"
8.75,9,"Frequency x Waveform","Most"
10,9,"Frequency x Waveform","Most"
10,9,"Frequency x Waveform","Most"
10,9,"Frequency x Waveform","Most"
10,10,"Frequency x Waveform","Most"
5,10,"Frequency x Waveform","Most"
0,8,"Frequency x Waveform","Most"
7.5,9,"Frequency x Waveform","Most"
0,10,"Frequency x Waveform","Most"
2.5,10,"Frequency x Waveform","Most"
7.5,9,"Frequency x Attack","Most"
10,9,"Frequency x Attack","Most"
10,8,"Frequency x Attack","Most"
0,10,"Frequency x Attack","Most"
7.5,6,"Frequency x Attack","Most"
6.25,6,"Frequency x Attack","Most"
8.75,7,"Frequency x Attack","Most"
7.5,8,"Frequency x Attack","Most"
10,9,"Frequency x Attack","Most"
7.5,7,"Frequency x Attack","Most"
8.75,8,"Frequency x Attack","Most"
7.5,7,"Frequency x Attack","Most"
10,9,"Frequency x Attack","Most"
10,9,"Frequency x Attack","Most"
0,8,"Frequency x Attack","Most"
10,8,"Frequency x Attack","Most"
7.5,6,"Frequency x Attack","Most"
10,10,"Frequency x Attack","Most"
10,7,"Frequency x Attack","Most"
10,9,"Frequency x Attack","Most"
7.5,9,"Frequency x Attack","Most"
10,7,"Frequency x Attack","Most"
8.75,10,"Frequency x Attack","Most"
10,10,"Frequency x Attack","Most"
8.75,7,"Frequency x Attack","Most"
8.75,10,"Frequency x Attack","Most"
8.75,10,"Frequency x Attack","Most"
7.5,7,"Frequency x Attack","Most"
8.75,8,"Frequency x Attack","Most"
10,10,"Frequency x Attack","Most"
0,7,"Frequency x Attack","Most"
10,9,"Frequency x Attack","Most"
5,4,"Frequency x Attack","Most"
10,10,"Frequency x Attack","Most"
10,7,"Frequency x Attack","Most"
10,9,"Frequency x Attack","Most"
10,10,"Frequency x Attack","Most"
10,10,"Frequency x Attack","Most"
1.25,10,"Frequency x Attack","Most"
10,7,"Frequency x Attack","Most"
10,8,"Frequency x Attack","Most"
0,8,"Frequency x Attack","Most"
10,8,"Frequency x Attack","Most"
10,9,"Frequency x Attack","Most"
10,10,"Frequency x Attack","Most"
10,10,"Frequency x Attack","Most"
10,9,"Frequency x Attack","Most"
10,4,"Frequency x Attack","Most"
0,3,"Frequency x Attack","Most"
10,9,"Frequency x Attack","Most"
10,8,"Frequency x Attack","Most"
10,8,"Frequency x Attack","Most"
10,9,"Frequency x Attack","Most"
10,8,"Frequency x Attack","Most"
10,10,"Frequency x Attack","Most"
8.75,10,"Frequency x Attack","Most"
8.75,8,"Frequency x Attack","Most"
8.75,8,"Frequency x Attack","Most"
10,8,"Frequency x Attack","Most"
10,10,"Frequency x Attack","Most"
10,9,"Frequency x Release","Most"
10,9,"Frequency x Release","Most"
10,9,"Frequency x Release","Most"
10,10,"Frequency x Release","Most"
8.75,5,"Frequency x Release","Most"
10,8,"Frequency x Release","Most"
8.75,1,"Frequency x Release","Most"
10,9,"Frequency x Release","Most"
10,9,"Frequency x Release","Most"
10,7,"Frequency x Release","Most"
7.5,5,"Frequency x Release","Most"
10,10,"Frequency x Release","Most"
7.5,7,"Frequency x Release","Most"
10,8,"Frequency x Release","Most"
1.25,7,"Frequency x Release","Most"
10,10,"Frequency x Release","Most"
10,8,"Frequency x Release","Most"
8.75,10,"Frequency x Release","Most"
10,6,"Frequency x Release","Most"
10,8,"Frequency x Release","Most"
10,10,"Frequency x Release","Most"
10,8,"Frequency x Release","Most"
8.75,10,"Frequency x Release","Most"
10,10,"Frequency x Release","Most"
10,9,"Frequency x Release","Most"
10,10,"Frequency x Release","Most"
10,10,"Frequency x Release","Most"
8.75,8,"Frequency x Release","Most"
10,7,"Frequency x Release","Most"
10,9,"Frequency x Release","Most"
0,8,"Frequency x Release","Most"
1.25,6,"Frequency x Release","Most"
8.75,8,"Frequency x Release","Most"
10,10,"Frequency x Release","Most"
10,9,"Frequency x Release","Most"
10,10,"Frequency x Release","Most"
10,10,"Frequency x Release","Most"
10,10,"Frequency x Release","Most"
8.75,6,"Frequency x Release","Most"
10,8,"Frequency x Release","Most"
8.75,1,"Frequency x Release","Most"
0,7,"Frequency x Release","Most"
10,8,"Frequency x Release","Most"
10,9,"Frequency x Release","Most"
8.75,10,"Frequency x Release","Most"
10,1,"Frequency x Release","Most"
6.25,8,"Frequency x Release","Most"
8.75,3,"Frequency x Release","Most"
1.25,5,"Frequency x Release","Most"
6.25,8,"Frequency x Release","Most"
8.75,9,"Frequency x Release","Most"
10,8,"Frequency x Release","Most"
10,9,"Frequency x Release","Most"
10,8,"Frequency x Release","Most"
7.5,10,"Frequency x Release","Most"
8.75,10,"Frequency x Release","Most"
10,9,"Frequency x Release","Most"
8.75,8,"Frequency x Release","Most"
10,7,"Frequency x Release","Most"
8.75,10,"Frequency x Release","Most"
0,9,"Frequency x Amplitude","Most"
10,9,"Frequency x Amplitude","Most"
10,10,"Frequency x Amplitude","Most"
10,10,"Frequency x Amplitude","Most"
10,10,"Frequency x Amplitude","Most"
6.25,1,"Frequency x Amplitude","Most"
10,10,"Frequency x Amplitude","Most"
8.75,7,"Frequency x Amplitude","Most"
10,10,"Frequency x Amplitude","Most"
8.75,5,"Frequency x Amplitude","Most"
10,9,"Frequency x Amplitude","Most"
10,10,"Frequency x Amplitude","Most"
10,9,"Frequency x Amplitude","Most"
8.75,7,"Frequency x Amplitude","Most"
0,7,"Frequency x Amplitude","Most"
10,10,"Frequency x Amplitude","Most"
8.75,7,"Frequency x Amplitude","Most"
10,10,"Frequency x Amplitude","Most"
10,7,"Frequency x Amplitude","Most"
8.75,7,"Frequency x Amplitude","Most"
10,10,"Frequency x Amplitude","Most"
10,7,"Frequency x Amplitude","Most"
8.75,10,"Frequency x Amplitude","Most"
8.75,10,"Frequency x Amplitude","Most"
8.75,9,"Frequency x Amplitude","Most"
8.75,10,"Frequency x Amplitude","Most"
10,10,"Frequency x Amplitude","Most"
8.75,8,"Frequency x Amplitude","Most"
10,7,"Frequency x Amplitude","Most"
10,10,"Frequency x Amplitude","Most"
0,7,"Frequency x Amplitude","Most"
10,8,"Frequency x Amplitude","Most"
7.5,8,"Frequency x Amplitude","Most"
10,10,"Frequency x Amplitude","Most"
10,9,"Frequency x Amplitude","Most"
10,9,"Frequency x Amplitude","Most"
10,10,"Frequency x Amplitude","Most"
7.5,9,"Frequency x Amplitude","Most"
0,7,"Frequency x Amplitude","Most"
6.25,7,"Frequency x Amplitude","Most"
8.75,8,"Frequency x Amplitude","Most"
0,8,"Frequency x Amplitude","Most"
10,8,"Frequency x Amplitude","Most"
10,9,"Frequency x Amplitude","Most"
10,10,"Frequency x Amplitude","Most"
10,8,"Frequency x Amplitude","Most"
10,10,"Frequency x Amplitude","Most"
10,10,"Frequency x Amplitude","Most"
2.5,5,"Frequency x Amplitude","Most"
10,10,"Frequency x Amplitude","Most"
10,9,"Frequency x Amplitude","Most"
10,9,"Frequency x Amplitude","Most"
8.75,10,"Frequency x Amplitude","Most"
10,9,"Frequency x Amplitude","Most"
6.25,9,"Frequency x Amplitude","Most"
7.5,10,"Frequency x Amplitude","Most"
10,8,"Frequency x Amplitude","Most"
8.75,8,"Frequency x Amplitude","Most"
10,8,"Frequency x Amplitude","Most"
8.75,10,"Frequency x Amplitude","Most"
1.25,1,"Frequency x Waveform","Least"
3.75,1,"Frequency x Waveform","Least"
0,1,"Frequency x Waveform","Least"
3.75,5,"Frequency x Waveform","Least"
5,2,"Frequency x Waveform","Least"
1.25,6,"Frequency x Waveform","Least"
0,1,"Frequency x Waveform","Least"
3.75,1,"Frequency x Waveform","Least"
1.25,2,"Frequency x Waveform","Least"
3.75,2,"Frequency x Waveform","Least"
3.75,2,"Frequency x Waveform","Least"
2.5,1,"Frequency x Waveform","Least"
5,4,"Frequency x Waveform","Least"
0,1,"Frequency x Waveform","Least"
2.5,3,"Frequency x Waveform","Least"
2.5,2,"Frequency x Waveform","Least"
1.25,2,"Frequency x Waveform","Least"
3.75,5,"Frequency x Waveform","Least"
3.75,1,"Frequency x Waveform","Least"
3.75,1,"Frequency x Waveform","Least"
2.5,1,"Frequency x Waveform","Least"
5,4,"Frequency x Waveform","Least"
5,1,"Frequency x Waveform","Least"
1.25,1,"Frequency x Waveform","Least"
2.5,1,"Frequency x Waveform","Least"
3.75,7,"Frequency x Waveform","Least"
0,3,"Frequency x Waveform","Least"
2.5,2,"Frequency x Waveform","Least"
1.25,1,"Frequency x Waveform","Least"
5,3,"Frequency x Waveform","Least"
5,2,"Frequency x Waveform","Least"
3.75,2,"Frequency x Waveform","Least"
5,7,"Frequency x Waveform","Least"
2.5,2,"Frequency x Waveform","Least"
3.75,1,"Frequency x Waveform","Least"
1.25,2,"Frequency x Waveform","Least"
5,1,"Frequency x Waveform","Least"
2.5,1,"Frequency x Waveform","Least"
7.5,1,"Frequency x Waveform","Least"
5,3,"Frequency x Waveform","Least"
1.25,1,"Frequency x Waveform","Least"
5,2,"Frequency x Waveform","Least"
0,1,"Frequency x Waveform","Least"
5,3,"Frequency x Waveform","Least"
3.75,1,"Frequency x Waveform","Least"
2.5,1,"Frequency x Waveform","Least"
0,4,"Frequency x Waveform","Least"
6.25,3,"Frequency x Waveform","Least"
2.5,1,"Frequency x Waveform","Least"
0,4,"Frequency x Waveform","Least"
5,2,"Frequency x Waveform","Least"
1.25,1,"Frequency x Waveform","Least"
0,3,"Frequency x Waveform","Least"
1.25,1,"Frequency x Waveform","Least"
0,1,"Frequency x Waveform","Least"
3.75,1,"Frequency x Waveform","Least"
0,2,"Frequency x Waveform","Least"
2.5,3,"Frequency x Waveform","Least"
2.5,3,"Frequency x Waveform","Least"
5,1,"Frequency x Waveform","Least"
2.5,2,"Frequency x Attack","Least"
5,1,"Frequency x Attack","Least"
0,1,"Frequency x Attack","Least"
6.25,3,"Frequency x Attack","Least"
3.75,1,"Frequency x Attack","Least"
0,4,"Frequency x Attack","Least"
1.25,2,"Frequency x Attack","Least"
1.25,3,"Frequency x Attack","Least"
0,1,"Frequency x Attack","Least"
3.75,3,"Frequency x Attack","Least"
8.75,2,"Frequency x Attack","Least"
3.75,2,"Frequency x Attack","Least"
0,1,"Frequency x Attack","Least"
0,1,"Frequency x Attack","Least"
5,5,"Frequency x Attack","Least"
1.25,2,"Frequency x Attack","Least"
3.75,2,"Frequency x Attack","Least"
2.5,1,"Frequency x Attack","Least"
2.5,1,"Frequency x Attack","Least"
3.75,1,"Frequency x Attack","Least"
2.5,2,"Frequency x Attack","Least"
2.5,1,"Frequency x Attack","Least"
2.5,3,"Frequency x Attack","Least"
1.25,1,"Frequency x Attack","Least"
2.5,1,"Frequency x Attack","Least"
1.25,2,"Frequency x Attack","Least"
0,1,"Frequency x Attack","Least"
3.75,3,"Frequency x Attack","Least"
1.25,3,"Frequency x Attack","Least"
0,1,"Frequency x Attack","Least"
5,2,"Frequency x Attack","Least"
3.75,5,"Frequency x Attack","Least"
1.25,2,"Frequency x Attack","Least"
3.75,2,"Frequency x Attack","Least"
2.5,4,"Frequency x Attack","Least"
1.25,2,"Frequency x Attack","Least"
1.25,1,"Frequency x Attack","Least"
1.25,2,"Frequency x Attack","Least"
5,2,"Frequency x Attack","Least"
5,1,"Frequency x Attack","Least"
1.25,1,"Frequency x Attack","Least"
5,2,"Frequency x Attack","Least"
0,1,"Frequency x Attack","Least"
2.5,2,"Frequency x Attack","Least"
2.5,1,"Frequency x Attack","Least"
1.25,2,"Frequency x Attack","Least"
1.25,3,"Frequency x Attack","Least"
1.25,1,"Frequency x Attack","Least"
2.5,1,"Frequency x Attack","Least"
1.25,3,"Frequency x Attack","Least"
5,3,"Frequency x Attack","Least"
0,1,"Frequency x Attack","Least"
0,5,"Frequency x Attack","Least"
0,1,"Frequency x Attack","Least"
0,1,"Frequency x Attack","Least"
3.75,1,"Frequency x Attack","Least"
5,1,"Frequency x Attack","Least"
5,4,"Frequency x Attack","Least"
1.25,3,"Frequency x Attack","Least"
1.25,3,"Frequency x Attack","Least"
1.25,3,"Frequency x Release","Least"
3.75,1,"Frequency x Release","Least"
0,1,"Frequency x Release","Least"
2.5,4,"Frequency x Release","Least"
2.5,2,"Frequency x Release","Least"
3.75,1,"Frequency x Release","Least"
0,2,"Frequency x Release","Least"
0,1,"Frequency x Release","Least"
1.25,1,"Frequency x Release","Least"
5,2,"Frequency x Release","Least"
2.5,1,"Frequency x Release","Least"
2.5,1,"Frequency x Release","Least"
2.5,2,"Frequency x Release","Least"
1.25,1,"Frequency x Release","Least"
3.75,4,"Frequency x Release","Least"
1.25,2,"Frequency x Release","Least"
1.25,1,"Frequency x Release","Least"
2.5,1,"Frequency x Release","Least"
3.75,1,"Frequency x Release","Least"
5,1,"Frequency x Release","Least"
2.5,2,"Frequency x Release","Least"
2.5,1,"Frequency x Release","Least"
3.75,2,"Frequency x Release","Least"
1.25,1,"Frequency x Release","Least"
2.5,1,"Frequency x Release","Least"
1.25,1,"Frequency x Release","Least"
0,1,"Frequency x Release","Least"
3.75,2,"Frequency x Release","Least"
1.25,2,"Frequency x Release","Least"
0,1,"Frequency x Release","Least"
3.75,1,"Frequency x Release","Least"
3.75,1,"Frequency x Release","Least"
8.75,10,"Frequency x Release","Least"
2.5,1,"Frequency x Release","Least"
0,2,"Frequency x Release","Least"
1.25,2,"Frequency x Release","Least"
1.25,1,"Frequency x Release","Least"
2.5,1,"Frequency x Release","Least"
5,2,"Frequency x Release","Least"
5,3,"Frequency x Release","Least"
0,1,"Frequency x Release","Least"
7.5,3,"Frequency x Release","Least"
2.5,3,"Frequency x Release","Least"
2.5,1,"Frequency x Release","Least"
2.5,3,"Frequency x Release","Least"
2.5,1,"Frequency x Release","Least"
0,2,"Frequency x Release","Least"
2.5,2,"Frequency x Release","Least"
0,4,"Frequency x Release","Least"
0,2,"Frequency x Release","Least"
5,3,"Frequency x Release","Least"
0,1,"Frequency x Release","Least"
0,5,"Frequency x Release","Least"
0,1,"Frequency x Release","Least"
1.25,2,"Frequency x Release","Least"
5,2,"Frequency x Release","Least"
2.5,2,"Frequency x Release","Least"
5,3,"Frequency x Release","Least"
0,1,"Frequency x Release","Least"
3.75,1,"Frequency x Release","Least"
5,3,"Frequency x Amplitude","Least"
5,1,"Frequency x Amplitude","Least"
1.25,1,"Frequency x Amplitude","Least"
2.5,4,"Frequency x Amplitude","Least"
2.5,1,"Frequency x Amplitude","Least"
1.25,1,"Frequency x Amplitude","Least"
1.25,1,"Frequency x Amplitude","Least"
0,1,"Frequency x Amplitude","Least"
2.5,2,"Frequency x Amplitude","Least"
0,2,"Frequency x Amplitude","Least"
1.25,3,"Frequency x Amplitude","Least"
5,2,"Frequency x Amplitude","Least"
0,1,"Frequency x Amplitude","Least"
1.25,1,"Frequency x Amplitude","Least"
3.75,4,"Frequency x Amplitude","Least"
1.25,2,"Frequency x Amplitude","Least"
1.25,2,"Frequency x Amplitude","Least"
2.5,3,"Frequency x Amplitude","Least"
2.5,1,"Frequency x Amplitude","Least"
3.75,1,"Frequency x Amplitude","Least"
2.5,2,"Frequency x Amplitude","Least"
2.5,1,"Frequency x Amplitude","Least"
5,4,"Frequency x Amplitude","Least"
2.5,1,"Frequency x Amplitude","Least"
1.25,1,"Frequency x Amplitude","Least"
1.25,1,"Frequency x Amplitude","Least"
0,1,"Frequency x Amplitude","Least"
2.5,3,"Frequency x Amplitude","Least"
2.5,3,"Frequency x Amplitude","Least"
2.5,1,"Frequency x Amplitude","Least"
5,3,"Frequency x Amplitude","Least"
2.5,3,"Frequency x Amplitude","Least"
10,10,"Frequency x Amplitude","Least"
2.5,1,"Frequency x Amplitude","Least"
0,1,"Frequency x Amplitude","Least"
1.25,1,"Frequency x Amplitude","Least"
3.75,1,"Frequency x Amplitude","Least"
2.5,1,"Frequency x Amplitude","Least"
6.25,1,"Frequency x Amplitude","Least"
1.25,1,"Frequency x Amplitude","Least"
1.25,2,"Frequency x Amplitude","Least"
3.75,2,"Frequency x Amplitude","Least"
1.25,1,"Frequency x Amplitude","Least"
2.5,1,"Frequency x Amplitude","Least"
2.5,2,"Frequency x Amplitude","Least"
1.25,1,"Frequency x Amplitude","Least"
0,3,"Frequency x Amplitude","Least"
6.25,4,"Frequency x Amplitude","Least"
3.75,2,"Frequency x Amplitude","Least"
0,3,"Frequency x Amplitude","Least"
3.75,2,"Frequency x Amplitude","Least"
0,1,"Frequency x Amplitude","Least"
0,2,"Frequency x Amplitude","Least"
0,1,"Frequency x Amplitude","Least"
2.5,2,"Frequency x Amplitude","Least"
3.75,1,"Frequency x Amplitude","Least"
6.25,2,"Frequency x Amplitude","Least"
3.75,2,"Frequency x Amplitude","Least"
3.75,3,"Frequency x Amplitude","Least"
2.5,1,"Frequency x Amplitude","Least"
